src,dst
0,68802adde35845d76eeb172ff8ea6825
1,5c19603e3f367a447d0cb4390a523f28
2,f47d826a7d0bf564d545aabbdc59b100
3,68802adde35845d76eeb172ff8ea6825
3,d8e654984321f6aac312a897071191f0
3,1ef0e106653b871d429cfab0cd5ea70a
3,e6261711da404b34bf64a51322b948a8
3,bd8cc63024c7a1d4adb3d08f0f4d4827
3,0aa4e4d45dda77ac95312330194288ab
3,496651284d41f79f438c1bdb2455e396
3,6429c394f8a48816d33a603c241a649b
3,a780d3304e9194cd75bbefbc14f7448a
3,48b04141a59af51ac85eff121170dbc3
3,5c19603e3f367a447d0cb4390a523f28
3,319cca4fbb083c8edad5b4ba79a35f44
3,f4bf7aba69bdf4416b72e26b07b4f433
3,09123f2ed94dfd9b864721b648fb1126
3,39962316d77bde821809135990093b43
3,bbeb59fa2d6812ec1ed4719f34add059
3,caf61b631cbc475cac8a52f599a2bb8e
3,2d037e49d84c54d9a49f931d2ab9aeb4
3,d6c1be17a64ed67455d1ae32585fd319
3,5e042ebff7524bf7e8113e18a52a0c7f
3,5353b254cf59a3c68852b23cb99044b4
3,232a3bfd30ea9903b4e337304781a110
3,a545349cbcfc5db326e3805323563f5b
3,f47d826a7d0bf564d545aabbdc59b100
3,61da57b4bfdd0c37669933563942b54b
3,d1481df7a36986973817ab3437e5dccf
3,c35569e87960cc0ecc2d1c8360839b77
4,e559e014a77010cc7b46d8d5cc75ee58
4,68802adde35845d76eeb172ff8ea6825
4,d8e654984321f6aac312a897071191f0
4,e6261711da404b34bf64a51322b948a8
4,bd8cc63024c7a1d4adb3d08f0f4d4827
4,0aa4e4d45dda77ac95312330194288ab
4,496651284d41f79f438c1bdb2455e396
4,a780d3304e9194cd75bbefbc14f7448a
4,48b04141a59af51ac85eff121170dbc3
4,33fdf452aa9cd145ba096c364a250ee8
4,319cca4fbb083c8edad5b4ba79a35f44
4,f4bf7aba69bdf4416b72e26b07b4f433
4,09123f2ed94dfd9b864721b648fb1126
4,39962316d77bde821809135990093b43
4,bbeb59fa2d6812ec1ed4719f34add059
4,caf61b631cbc475cac8a52f599a2bb8e
4,2d037e49d84c54d9a49f931d2ab9aeb4
4,d6c1be17a64ed67455d1ae32585fd319
4,5e042ebff7524bf7e8113e18a52a0c7f
4,5353b254cf59a3c68852b23cb99044b4
4,232a3bfd30ea9903b4e337304781a110
4,a545349cbcfc5db326e3805323563f5b
4,f47d826a7d0bf564d545aabbdc59b100
4,61da57b4bfdd0c37669933563942b54b
4,d43fa10d0fba10e4269965ed3f918f03
4,d1481df7a36986973817ab3437e5dccf
4,c35569e87960cc0ecc2d1c8360839b77
5,e559e014a77010cc7b46d8d5cc75ee58
5,68802adde35845d76eeb172ff8ea6825
5,d8e654984321f6aac312a897071191f0
5,1ef0e106653b871d429cfab0cd5ea70a
5,e6261711da404b34bf64a51322b948a8
5,bd8cc63024c7a1d4adb3d08f0f4d4827
5,0aa4e4d45dda77ac95312330194288ab
5,496651284d41f79f438c1bdb2455e396
5,6429c394f8a48816d33a603c241a649b
5,a780d3304e9194cd75bbefbc14f7448a
5,48b04141a59af51ac85eff121170dbc3
5,5c19603e3f367a447d0cb4390a523f28
5,33fdf452aa9cd145ba096c364a250ee8
5,319cca4fbb083c8edad5b4ba79a35f44
5,f4bf7aba69bdf4416b72e26b07b4f433
5,09123f2ed94dfd9b864721b648fb1126
5,39962316d77bde821809135990093b43
5,bbeb59fa2d6812ec1ed4719f34add059
5,caf61b631cbc475cac8a52f599a2bb8e
5,2d037e49d84c54d9a49f931d2ab9aeb4
5,d6c1be17a64ed67455d1ae32585fd319
5,5e042ebff7524bf7e8113e18a52a0c7f
5,5353b254cf59a3c68852b23cb99044b4
5,232a3bfd30ea9903b4e337304781a110
5,a545349cbcfc5db326e3805323563f5b
5,f47d826a7d0bf564d545aabbdc59b100
5,61da57b4bfdd0c37669933563942b54b
6,d43fa10d0fba10e4269965ed3f918f03
6,d1481df7a36986973817ab3437e5dccf
6,c35569e87960cc0ecc2d1c8360839b77
6,e559e014a77010cc7b46d8d5cc75ee58
6,68802adde35845d76eeb172ff8ea6825
6,d8e654984321f6aac312a897071191f0
6,1ef0e106653b871d429cfab0cd5ea70a
6,e6261711da404b34bf64a51322b948a8
6,bd8cc63024c7a1d4adb3d08f0f4d4827
6,0aa4e4d45dda77ac95312330194288ab
6,496651284d41f79f438c1bdb2455e396
6,6429c394f8a48816d33a603c241a649b
6,a780d3304e9194cd75bbefbc14f7448a
6,48b04141a59af51ac85eff121170dbc3
6,5c19603e3f367a447d0cb4390a523f28
6,33fdf452aa9cd145ba096c364a250ee8
6,319cca4fbb083c8edad5b4ba79a35f44
6,f4bf7aba69bdf4416b72e26b07b4f433
6,09123f2ed94dfd9b864721b648fb1126
6,39962316d77bde821809135990093b43
6,bbeb59fa2d6812ec1ed4719f34add059
6,caf61b631cbc475cac8a52f599a2bb8e
6,2d037e49d84c54d9a49f931d2ab9aeb4
6,d6c1be17a64ed67455d1ae32585fd319
6,5e042ebff7524bf7e8113e18a52a0c7f
6,5353b254cf59a3c68852b23cb99044b4
6,232a3bfd30ea9903b4e337304781a110
7,a545349cbcfc5db326e3805323563f5b
7,f47d826a7d0bf564d545aabbdc59b100
7,61da57b4bfdd0c37669933563942b54b
7,d43fa10d0fba10e4269965ed3f918f03
7,d1481df7a36986973817ab3437e5dccf
7,c35569e87960cc0ecc2d1c8360839b77
7,e559e014a77010cc7b46d8d5cc75ee58
7,68802adde35845d76eeb172ff8ea6825
7,d8e654984321f6aac312a897071191f0
7,1ef0e106653b871d429cfab0cd5ea70a
7,e6261711da404b34bf64a51322b948a8
7,bd8cc63024c7a1d4adb3d08f0f4d4827
7,0aa4e4d45dda77ac95312330194288ab
7,496651284d41f79f438c1bdb2455e396
7,6429c394f8a48816d33a603c241a649b
7,a780d3304e9194cd75bbefbc14f7448a
7,48b04141a59af51ac85eff121170dbc3
7,5c19603e3f367a447d0cb4390a523f28
7,33fdf452aa9cd145ba096c364a250ee8
7,319cca4fbb083c8edad5b4ba79a35f44
7,f4bf7aba69bdf4416b72e26b07b4f433
7,09123f2ed94dfd9b864721b648fb1126
7,39962316d77bde821809135990093b43
7,bbeb59fa2d6812ec1ed4719f34add059
7,caf61b631cbc475cac8a52f599a2bb8e
7,2d037e49d84c54d9a49f931d2ab9aeb4
7,d6c1be17a64ed67455d1ae32585fd319
8,5e042ebff7524bf7e8113e18a52a0c7f
8,5353b254cf59a3c68852b23cb99044b4
8,232a3bfd30ea9903b4e337304781a110
8,a545349cbcfc5db326e3805323563f5b
8,f47d826a7d0bf564d545aabbdc59b100
